English,Gothic
a,"(English article, is untranslated)"
abandoned,ainakls (adj. A)
"abbreviate, to (v.)",gamaurgjan (I weak i)
abbreviation (n.),*maurgeins (f. I/O)
ability (n.),mahts (f. I)
able,mahteigs (adj. A)
abode (n.),saliþwos (f. O) (plural)
"abolish, to (v.)",blauþjan (I weak i)
"abolished, to be",gataurnan (IV weak)
abolishment (n.),*blauþeins (f. I/O)
abominable (adj.),andasets (adj. I)
"abound, to",ufarassau haban (III weak)
about,1. bi + acc (about him) 2. swe (about two miles)
above,ufaro
"absolve, to (v.)",letan (VII strong)
absent (adj.),afhaimeis (adj. Ja) (far from home)
abstinence,gahobains (f. I)
abundance (n.),1. ufarassus (m. U) 2. ufarfullei (f. N) 3. digrei (f. N)
abuse (n.),*anamahts (f. I)
"abuse, to (v.)",anamahtjan (I)
abuser (n.),*anamahtjands (m. Cons.)
abyss (n.),afgrundiþa (f. O)
"accept, to (v.)","andsitan (V abl) (to accept an abstract concept, God accepteth no man’s person = guþ mans andwairþi ni andsitiþ)"
acceptation (n.),andanumts (f. I)
accepted (adj.),andanems (adj. I)
access (n.),atgagg (n. A)
according,~ to = afar + dative
account (n.),1. *rahneins (f. I/O) (online) 2. raþjo (f. N)
accurate (adj.),*glaggws (adj. U)
accurately (adv.),glaggwuba
accusation (n.),1. fairina (f. O) 2. wrohs (f. I)
accusative (n.),*akkusateibus (m. U)
"accuse, to (v.)",wrohjan (I weak i)
accustomed (adj.),biuhts (adj. A)
Achaea (n.),Akajus (gen. pl. = Akaïje)
"acknowledge, to (v.)",andhaitan (red I. + dat)
acknowledgement (n.),*andhait (n. A)
act (n.),gadeþs (f. I)
actor (n.),"1. *gadeþja (m. N) (someone who acts, does something) 2. *fairweitlands (m. Nd)/*fairweitlandi (f. Jo) (an actor in a play, movie or series)"
adapted (adj.),biuhts (adj. A)
"add, to (v.)",anaaukan (II red) + acc. (add up to)
"adjure, to (v.)",biswaran (VI abl)
adjurer (n.),*biswarands (m. Nd)/*biswarandi (f. Jo)
"admired, to be",sildaleiknan (IV weak)
adoptation (n.),sibja (f. Jo)
adoption (n.),frastisibja (f. Jo)
"adorn, to",fetjan (I i weak)
adorner (n.),1. *fetja (m. N)/*fetjo (f. N) 2. *fetjands (m. Nd)/*fetjandi (f. Jo)
adult (n.),uswahsans (pret-pres)
adulterer (n.),hors (m. A)
adulteress (n.),*horo (f. N)
adultery (n.),horinassus (m. U) to commit ~ = horinon (II weak)
advance (n.),framgahts (f. I)
advantage (n.),bota (f. O)
advent (n.),qums (m. A)
adversary (n.),1. andastaua (m. N) (in court) 2. andastaþjis (m. Ja)
advertisement (n.),*+hazeins (f. I/O) (W.E.)
advertising (n.),*+hazeins (f. I/O) (W.E.)
advice (n.),ragin (n. A)
"advice, to (v.)",garaginon (II weak) + dat
advicer (n.),*garaginonds (m. N)/*garaginondi (f. Jo)
affection (n.),1. winna (f. O) 2. winno (f. N)
affliction (n.),wunns (f. I)
afraid (adj.),faurhts (adj. A)
"afraid, to be (v.)",faurhtjan (I weak i)
after,"afar + dat/acc (in locative it’s the dative, temporal form uses either dative or accusative)"
again,aftra
against,1. wiþra + acc 2. over~ = wiþrawairþs (adj. A)
aged (adj.),1. sineigs (adj. A) (as in old) 2. framaldrs (adj. A) (well stricken in years.)
aggressiveness (n.),þrasabalþei (f. N)
ago,faur + dat.
"agree, to (v.)","waila hugjan (I weak) + dat (person/thing agreed with is in dative), sijais waila hugjands andastauin þeinamma = agree with thine adversary"
agreeing,~ together = samaleiks (adj. A)
agreement (n.),samaqiss (f. I)
aim (n.),mundrei (f. N)
air (n.),luftus (m. U)
airplane (n.),*luftuskip (n. A)
alarm (n.),*duwepnam (literally: to the weapons; indeclinable)
ale (n.),*alu (n. U)
ale-bank (n.),*alubanks (m. I)
alienated,framaþeis (adj. Ja) + gen (being alienated from the life of God = framaþjai libainais gudis)
